name,input_path,output_path,status,used_meshfix,error,vertices_before,faces_before,watertight_before,winding_before,euler_before,volume_before,components_before,degenerate_removed,tiny_components_removed,vertices_after,faces_after,watertight_after,winding_after,euler_after,volume_after,components_after
mu_bod_VL11,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL11.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL11.stl,ok,True,,12576,4192,False,True,4192,-0.002118520867489744,4192,0,0,2098,4192,True,True,2,0.0021185208674897467,
mu_bod_VL9,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL9.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL9.stl,ok,True,,12432,4144,False,True,4144,0.0020647194871549327,4144,0,0,2071,4138,True,True,2,0.0020647178435448596,
mu_bod_VL7,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL7.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL7.stl,ok,True,,8400,2800,False,True,2800,0.001518914621851623,2800,0,0,1399,2794,True,True,2,0.001518912189632898,
mu_bod_VL5,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL5.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL5.stl,ok,True,,8400,2800,False,True,2800,0.0012765829250380126,2800,0,0,1399,2794,True,True,2,0.0012765814893068758,
mu_bod_VL3,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL3.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL3.stl,ok,True,,7200,2400,False,True,2400,0.0008475667452702505,2400,0,0,1199,2394,True,True,2,0.0008475647621839912,
mu_bod_VL1,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL1.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VL1.stl,ok,True,,9792,3264,False,True,3264,0.000354398862924681,3264,0,0,1634,3264,True,True,2,0.000354392010526574,
mu_bod_VR22,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VR22.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VR22.stl,ok,False,,33216,11072,False,True,11072,0.0021239330035522316,11072,0,0,5538,11072,True,True,2,0.0021239330035522316,
mu_bod_VR20,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VR20.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VR20.stl,ok,False,,36480,12160,False,True,12160,0.003180298527418626,12160,0,0,6082,12160,True,True,2,0.003180298527418626,
mu_bod_VR18,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VR18.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VR18.stl,ok,True,,28848,9616,False,True,9616,0.00262263610432043,9616,0,0,4807,9610,True,True,2,0.0026226327586533677,
mu_bod_VR16,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VR16.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mu_bod_VR16.stl,ok,False,,18672,6224,False,True,6224,0.0015972646337409785,6224,0,0,3114,6224,True,True,2,0.0015972646337409785,
