
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/manifest_wu_core_children.csv
[OPENWORM-VALIDATOR] objects  = 204
[OPENWORM-VALIDATOR][LOADED] 98 name=Gonadal_Sheath_P3L category=reproductive_rectal_system raw_tri=2208 kept_tri=2208 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 99 name=Gonadal_Sheath_P2L category=reproductive_rectal_system raw_tri=2912 kept_tri=2912 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 100 name=Gonadal_Sheath_P1L category=reproductive_rectal_system raw_tri=6496 kept_tri=6496 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 101 name=Gonadal_Sheath_A3L category=reproductive_rectal_system raw_tri=1760 kept_tri=1760 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 102 name=Gonadal_Sheath_A2L category=reproductive_rectal_system raw_tri=2208 kept_tri=2208 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 103 name=Gonadal_Sheath_A1L category=reproductive_rectal_system raw_tri=6256 kept_tri=6256 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 104 name=Rachis_P category=reproductive_rectal_system raw_tri=3570 kept_tri=3570 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 105 name=Rachis_A category=reproductive_rectal_system raw_tri=3214 kept_tri=3214 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 106 name=Gonadal_Sheath_P4V category=reproductive_rectal_system raw_tri=1504 kept_tri=1504 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 107 name=Gonadal_Sheath_P3R category=reproductive_rectal_system raw_tri=2208 kept_tri=2208 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 108 name=Gonadal_Sheath_P2R category=reproductive_rectal_system raw_tri=2912 kept_tri=2912 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 109 name=Gonadal_Sheath_P1R category=reproductive_rectal_system raw_tri=6496 kept_tri=6496 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 110 name=Gonadal_Sheath_A4V category=reproductive_rectal_system raw_tri=1504 kept_tri=1504 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 111 name=Gonadal_Sheath_A3R category=reproductive_rectal_system raw_tri=1760 kept_tri=1760 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 112 name=Gonadal_Sheath_A2R category=reproductive_rectal_system raw_tri=2208 kept_tri=2208 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 113 name=Gonadal_Sheath_A1R category=reproductive_rectal_system raw_tri=6256 kept_tri=6256 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 114 name=vm1L_Ant category=reproductive_rectal_system raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 115 name=vm2R_Ant category=reproductive_rectal_system raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 116 name=vm2L_Post category=reproductive_rectal_system raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 117 name=um1L_Post category=reproductive_rectal_system raw_tri=1344 kept_tri=1344 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 118 name=um1L_Ant category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 119 name=um1R_Post category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 120 name=um2L_Post category=reproductive_rectal_system raw_tri=3776 kept_tri=3776 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 121 name=um2L_Ant category=reproductive_rectal_system raw_tri=3776 kept_tri=3776 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 122 name=ut2_Ant category=reproductive_rectal_system raw_tri=2048 kept_tri=2048 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 123 name=um2R_Ant category=reproductive_rectal_system raw_tri=3776 kept_tri=3776 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 124 name=um1R_Ant category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 125 name=um2R_Post category=reproductive_rectal_system raw_tri=3776 kept_tri=3776 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 126 name=vulA category=reproductive_rectal_system raw_tri=1280 kept_tri=1280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 127 name=vulB1 category=reproductive_rectal_system raw_tri=1280 kept_tri=1280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 128 name=vulB2 category=reproductive_rectal_system raw_tri=1280 kept_tri=1280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 129 name=vulC category=reproductive_rectal_system raw_tri=1280 kept_tri=1280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 130 name=vm1R_Ant category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 131 name=vm1R_Post category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 132 name=vm1L_Post category=reproductive_rectal_system raw_tri=704 kept_tri=704 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 133 name=vulD category=reproductive_rectal_system raw_tri=1280 kept_tri=1280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 134 name=vulE category=reproductive_rectal_system raw_tri=2560 kept_tri=2560 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 135 name=vulF category=reproductive_rectal_system raw_tri=1280 kept_tri=1280 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 136 name=vm2R_Post category=reproductive_rectal_system raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 137 name=vm2L_Ant category=reproductive_rectal_system raw_tri=576 kept_tri=576 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 138 name=uv2_Post category=reproductive_rectal_system raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 139 name=uv1_Post category=reproductive_rectal_system raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 140 name=uv3_Post category=reproductive_rectal_system raw_tri=896 kept_tri=896 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 141 name=uv3_Ant category=reproductive_rectal_system raw_tri=896 kept_tri=896 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 142 name=uv2_Ant category=reproductive_rectal_system raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 143 name=uv1_Ant category=reproductive_rectal_system raw_tri=2112 kept_tri=2112 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 144 name=ut3_Post category=reproductive_rectal_system raw_tri=1536 kept_tri=1536 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 145 name=ut2_Post category=reproductive_rectal_system raw_tri=2048 kept_tri=2048 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 146 name=ut1_Post category=reproductive_rectal_system raw_tri=4416 kept_tri=4416 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 147 name=ut1_Ant category=reproductive_rectal_system raw_tri=4096 kept_tri=4096 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 148 name=ut3_Ant category=reproductive_rectal_system raw_tri=2050 kept_tri=2050 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 149 name=utse category=reproductive_rectal_system raw_tri=8576 kept_tri=8576 skipped_deg=0
