
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/openworm_object_stl_manifest_repaired.csv
[OPENWORM-VALIDATOR] objects  = 694
[OPENWORM-VALIDATOR][LOADED] 77 name=mu_bod_VL7 category=muscle/pharynx-muscle raw_tri=2794 kept_tri=2794 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 78 name=mu_bod_VL5 category=muscle/pharynx-muscle raw_tri=2794 kept_tri=2794 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 79 name=mu_bod_VL3 category=muscle/pharynx-muscle raw_tri=2394 kept_tri=2394 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 80 name=mu_bod_VL1 category=muscle/pharynx-muscle raw_tri=3264 kept_tri=3264 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 81 name=mu_bod_VR22 category=muscle/pharynx-muscle raw_tri=11072 kept_tri=11072 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 82 name=mu_bod_VR20 category=muscle/pharynx-muscle raw_tri=12160 kept_tri=12160 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 83 name=mu_bod_VR18 category=muscle/pharynx-muscle raw_tri=9610 kept_tri=9610 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 84 name=mu_bod_VR16 category=muscle/pharynx-muscle raw_tri=6224 kept_tri=6224 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 85 name=mu_bod_VR14 category=muscle/pharynx-muscle raw_tri=8912 kept_tri=8912 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 86 name=mu_bod_VR12 category=muscle/pharynx-muscle raw_tri=9328 kept_tri=9328 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 87 name=mu_bod_VR10 category=muscle/pharynx-muscle raw_tri=7104 kept_tri=7104 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 88 name=mu_bod_VR8 category=muscle/pharynx-muscle raw_tri=3872 kept_tri=3872 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 89 name=mu_bod_VR6 category=muscle/pharynx-muscle raw_tri=2064 kept_tri=2064 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 90 name=mu_bod_VR4 category=muscle/pharynx-muscle raw_tri=2000 kept_tri=2000 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 91 name=mu_bod_VR2 category=muscle/pharynx-muscle raw_tri=4128 kept_tri=4128 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 92 name=mu_bod_VR21 category=muscle/pharynx-muscle raw_tri=4176 kept_tri=4176 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 93 name=mu_bod_VR19 category=muscle/pharynx-muscle raw_tri=2672 kept_tri=2672 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 94 name=mu_bod_VR17 category=muscle/pharynx-muscle raw_tri=4160 kept_tri=4160 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 95 name=mu_bod_VR15 category=muscle/pharynx-muscle raw_tri=4960 kept_tri=4960 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 96 name=mu_bod_VR13 category=muscle/pharynx-muscle raw_tri=4208 kept_tri=4208 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 97 name=mu_bod_VR11 category=muscle/pharynx-muscle raw_tri=3648 kept_tri=3648 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 98 name=mu_bod_VR9 category=muscle/pharynx-muscle raw_tri=8752 kept_tri=8752 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 99 name=mu_bod_VR7 category=muscle/pharynx-muscle raw_tri=2800 kept_tri=2800 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 100 name=mu_bod_VR5 category=muscle/pharynx-muscle raw_tri=3232 kept_tri=3232 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 101 name=mu_bod_VR3 category=muscle/pharynx-muscle raw_tri=1968 kept_tri=1968 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 102 name=mu_bod_VR1 category=muscle/pharynx-muscle raw_tri=3264 kept_tri=3264 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 103 name=mu_bod_DR23 category=muscle/pharynx-muscle raw_tri=6928 kept_tri=6928 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 104 name=mu_bod_DR22 category=muscle/pharynx-muscle raw_tri=5920 kept_tri=5920 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 105 name=mu_bod_DR20 category=muscle/pharynx-muscle raw_tri=8080 kept_tri=8080 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 106 name=mu_bod_DR18 category=muscle/pharynx-muscle raw_tri=5328 kept_tri=5328 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 107 name=mu_bod_DR16 category=muscle/pharynx-muscle raw_tri=4816 kept_tri=4816 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 108 name=mu_bod_DR14 category=muscle/pharynx-muscle raw_tri=4816 kept_tri=4816 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 109 name=mu_bod_DR12 category=muscle/pharynx-muscle raw_tri=5408 kept_tri=5408 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 110 name=mu_bod_DR10 category=muscle/pharynx-muscle raw_tri=4208 kept_tri=4208 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 111 name=mu_bod_DR8 category=muscle/pharynx-muscle raw_tri=4288 kept_tri=4288 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 112 name=mu_bod_DR6 category=muscle/pharynx-muscle raw_tri=1952 kept_tri=1952 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 113 name=mu_bod_DR4 category=muscle/pharynx-muscle raw_tri=2240 kept_tri=2240 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 114 name=mu_bod_DR2 category=muscle/pharynx-muscle raw_tri=2686 kept_tri=2686 skipped_deg=0
