a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_pm5D_phys,pm5D,30,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||pm5D,6.42034,15
ow_mu_bod_DL3_phys,mu_bod_DL3,127,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mu_bod_DL3,6.37426,15
ow_mc1DL_phys,mc1DL,42,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mc1DL,5.58851,1
ow_pm1_phys,pm1,12,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm1,5.54648,5
ow_mc1DL_phys,mc1DL,42,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||mc1DL,5.5354,40
ow_pm3D_phys,pm3D,41,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm3D,5.52982,32
ow_vm2L_Ant_phys,vm2L_Ant,231,ow_vulA_phys,vulA,220,vm2L_Ant||vulA,5.29524,1
ow_Gonadal_Sheath_A2L_phys,Gonadal_Sheath_A2L,196,ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,207,Gonadal_Sheath_A1R||Gonadal_Sheath_A2L,5.08474,10
ow_Gonadal_Sheath_A2R_phys,Gonadal_Sheath_A2R,206,ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,207,Gonadal_Sheath_A1R||Gonadal_Sheath_A2R,4.90379,53
ow_mu_bod_VL14_phys,mu_bod_VL14,49,ow_mu_bod_VL16_phys,mu_bod_VL16,48,mu_bod_VL14||mu_bod_VL16,4.83007,21
ow_Gonadal_Sheath_A2L_phys,Gonadal_Sheath_A2L,196,ow_Gonadal_Sheath_A1L_phys,Gonadal_Sheath_A1L,197,Gonadal_Sheath_A1L||Gonadal_Sheath_A2L,4.7285,31
ow_pm1_phys,pm1,12,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm1,4.36169,20
ow_mc1DR_phys,mc1DR,20,ow_e1VR_phys,e1VR,5,e1VR||mc1DR,4.34378,4
ow_mu_bod_DL19_phys,mu_bod_DL19,124,ow_mu_bod_DL21_phys,mu_bod_DL21,123,mu_bod_DL19||mu_bod_DL21,4.3065,1
ow_pm3VR_phys,pm3VR,43,ow_e1VR_phys,e1VR,5,e1VR||pm3VR,4.27482,33
ow_e1VL_phys,e1VL,36,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||e1VL,4.22876,11
ow_e3VL_phys,e3VL,35,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||e3VL,4.1662,61
ow_mu_bod_VL1_phys,mu_bod_VL1,66,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mu_bod_VL1,4.07687,213
ow_mu_bod_VL2_phys,mu_bod_VL2,55,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mu_bod_VL2,4.06508,3
ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,ow_Excretory_Cell_phys,Excretory_Cell,298,Arcade_Cell_Post||Excretory_Cell,3.97521,29
ow_mc1DR_phys,mc1DR,20,ow_e3VR_phys,e3VR,6,e3VR||mc1DR,3.94052,1
ow_mc2DL_phys,mc2DL,31,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||mc2DL,3.6682,26
ow_pm2D_phys,pm2D,15,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm2D,3.62005,15
ow_mu_bod_DR18_phys,mu_bod_DR18,92,ow_mu_bod_DR16_phys,mu_bod_DR16,93,mu_bod_DR16||mu_bod_DR18,3.60053,1
ow_um2R_Post_phys,um2R_Post,219,ow_mu_bod_VR18_phys,mu_bod_VR18,69,mu_bod_VR18||um2R_Post,3.4625,164
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm7VL_phys,pm7VL,23,Phar_Gland_Dorsal_g2||pm7VL,3.41817,131
ow_vm2R_Post_phys,vm2R_Post,230,ow_um1R_Post_phys,um1R_Post,213,um1R_Post||vm2R_Post,3.39188,1
ow_pm2VL_phys,pm2VL,14,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm2VL,3.35714,44
ow_Gonadal_Sheath_P5D_phys,Gonadal_Sheath_P5D,190,ow_Oocyte_Post_1_phys,Oocyte_Post_1,256,Gonadal_Sheath_P5D||Oocyte_Post_1,3.34789,81
ow_Phar_Gland_g2_VR_phys,Phar_Gland_g2_VR,1,ow_pm7VR_phys,pm7VR,44,Phar_Gland_g2_VR||pm7VR,3.34457,431
ow_Phar_Gland_g2_VL_phys,Phar_Gland_g2_VL,38,ow_pm7VL_phys,pm7VL,23,Phar_Gland_g2_VL||pm7VL,3.31372,432
ow_mu_bod_VL3_phys,mu_bod_VL3,65,ow_pm3VL_phys,pm3VL,40,mu_bod_VL3||pm3VL,3.26595,1
ow_Rachis_A_phys,Rachis_A,199,ow_Gonadal_Sheath_A1L_phys,Gonadal_Sheath_A1L,197,Gonadal_Sheath_A1L||Rachis_A,3.19565,245
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm7VR_phys,pm7VR,44,Phar_Gland_Dorsal_g2||pm7VR,3.13855,118
ow_pm2VR_phys,pm2VR,13,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||pm2VR,2.99857,10
ow_mu_bod_DL1_phys,mu_bod_DL1,137,ow_Excretory_Cell_phys,Excretory_Cell,298,Excretory_Cell||mu_bod_DL1,2.90517,5
ow_pm6D_phys,pm6D,26,ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,Phar_Gland_g1_L||pm6D,2.90135,3
ow_Phar_Gland_g1_R_phys,Phar_Gland_g1_R,0,ow_pm6VR_phys,pm6VR,28,Phar_Gland_g1_R||pm6VR,2.85325,380
ow_Phar_Gland_g1_L_phys,Phar_Gland_g1_L,37,ow_pm6VL_phys,pm6VL,25,Phar_Gland_g1_L||pm6VL,2.8426,534
ow_Phar_Gland_g2_VR_phys,Phar_Gland_g2_VR,1,ow_pm6VR_phys,pm6VR,28,Phar_Gland_g2_VR||pm6VR,2.83935,547
ow_um2R_Ant_phys,um2R_Ant,217,ow_vm2R_Ant_phys,vm2R_Ant,209,um2R_Ant||vm2R_Ant,2.81309,5
ow_Sp_bag_P_2R_phys,Sp_bag_P_2R,150,ow_mu_bod_VR17_phys,mu_bod_VR17,80,Sp_bag_P_2R||mu_bod_VR17,2.80823,1
ow_mu_bod_VL18_phys,mu_bod_VL18,47,ow_um2L_Post_phys,um2L_Post,214,mu_bod_VL18||um2L_Post,2.79642,29
ow_Phar_Gland_g2_VL_phys,Phar_Gland_g2_VL,38,ow_pm6VL_phys,pm6VL,25,Phar_Gland_g2_VL||pm6VL,2.70256,484
ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,ow_pm7D_phys,pm7D,24,Phar_Gland_Dorsal_g2||pm7D,2.69618,145
ow_mc1DR_phys,mc1DR,20,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||mc1DR,2.68921,1
