object_name,compartment,samples,frac_inside_body,outside_samples,watertight,faces,stl_path
ut2_Post,reproductive_rectal_system,2048,1.0,0,True,2048,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut2_Post.stl
ut1_Post,reproductive_rectal_system,4416,1.0,0,True,4416,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut1_Post.stl
ut1_Ant,reproductive_rectal_system,4096,1.0,0,True,4096,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut1_Ant.stl
ut3_Ant,reproductive_rectal_system,2050,1.0,0,True,2050,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut3_Ant.stl
utse,reproductive_rectal_system,5000,1.0,0,True,8576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/utse.stl
ut4_Post,reproductive_rectal_system,1536,1.0,0,True,1536,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut4_Post.stl
ut4_Ant,reproductive_rectal_system,1152,1.0,0,True,1152,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/ut4_Ant.stl
Sp_Ut_Valve_Post,reproductive_rectal_system,1152,1.0,0,True,1152,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_Ut_Valve_Post.stl
Sp_Ut_Valve_Ant,reproductive_rectal_system,1152,1.0,0,True,1152,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_Ut_Valve_Ant.stl
Gonadal_Sheath_P5V,reproductive_rectal_system,2480,1.0,0,True,2480,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Gonadal_Sheath_P5V.stl
Oocyte_Post_8,reproductive_rectal_system,896,1.0,0,True,896,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Oocyte_Post_8.stl
Oocyte_Post_7,reproductive_rectal_system,704,1.0,0,True,704,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Oocyte_Post_7.stl
Oocyte_Post_6,reproductive_rectal_system,704,1.0,0,True,704,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Oocyte_Post_6.stl
